experiment,final_train_loss,final_val_loss,block_size,n_layer,n_head,n_embd,batch_size,max_iters,dropout,actual_iters
out_bs64_nl4_nh8_ne256_b16_mi2000_do0.1,1.6047,1.7791,64,4,8,256,16,2000,0.1,2000.0
out_bs64_nl4_nh4_ne256_b16_mi2000_do0.1,1.6173,1.7907,64,4,4,256,16,2000,0.1,2000.0
out_bs64_nl4_nh8_ne256_b16_mi2000_do0.2,1.6662,1.8311,64,4,8,256,16,2000,0.2,2000.0
out_bs64_nl4_nh4_ne256_b16_mi2000_do0.2,1.6833,1.8473,64,4,4,256,16,2000,0.2,2000.0
out_bs64_nl4_nh8_ne256_b8_mi2000_do0.1,1.7737,1.9056,64,4,8,256,8,2000,0.1,2000.0
out_bs64_nl4_nh4_ne256_b8_mi2000_do0.1,1.7785,1.912,64,4,4,256,8,2000,0.1,2000.0
out_bs64_nl4_nh8_ne128_b16_mi2000_do0.1,1.8103,1.9295,64,4,8,128,16,2000,0.1,2000.0
out_bs64_nl4_nh4_ne256_b16_mi1000_do0.1,1.8021,1.934,64,4,4,256,16,1000,0.1,1000.0
out_bs64_nl4_nh4_ne128_b16_mi2000_do0.1,1.8124,1.9367,64,4,4,128,16,2000,0.1,2000.0
out_bs64_nl4_nh8_ne256_b16_mi1000_do0.1,1.805,1.9376,64,4,8,256,16,1000,0.1,1000.0
out_bs64_nl4_nh8_ne256_b8_mi2000_do0.2,1.8473,1.9623,64,4,8,256,8,2000,0.2,2000.0
out_bs64_nl4_nh4_ne256_b8_mi2000_do0.2,1.8532,1.9649,64,4,4,256,8,2000,0.2,2000.0
out_bs64_nl4_nh8_ne128_b16_mi2000_do0.2,1.9116,1.9974,64,4,8,128,16,2000,0.2,2000.0
out_bs64_nl4_nh4_ne256_b16_mi1000_do0.2,1.8808,1.9994,64,4,4,256,16,1000,0.2,1000.0
out_bs64_nl4_nh8_ne256_b16_mi1000_do0.2,1.8834,2.0034,64,4,8,256,16,1000,0.2,1000.0
out_bs64_nl4_nh4_ne128_b16_mi2000_do0.2,1.9261,2.0085,64,4,4,128,16,2000,0.2,2000.0
out_bs64_nl4_nh8_ne128_b8_mi2000_do0.1,1.9789,2.0563,64,4,8,128,8,2000,0.1,2000.0
out_bs64_nl4_nh4_ne128_b8_mi2000_do0.1,1.9917,2.0653,64,4,4,128,8,2000,0.1,2000.0
out_bs64_nl4_nh8_ne256_b8_mi1000_do0.1,2.0124,2.0895,64,4,8,256,8,1000,0.1,1000.0
out_bs64_nl4_nh4_ne256_b8_mi1000_do0.1,2.0199,2.0974,64,4,4,256,8,1000,0.1,1000.0
out_bs64_nl4_nh8_ne128_b16_mi1000_do0.1,2.0601,2.105,64,4,8,128,16,1000,0.1,1000.0
out_bs64_nl4_nh4_ne128_b16_mi1000_do0.1,2.0612,2.1073,64,4,4,128,16,1000,0.1,1000.0
out_bs64_nl4_nh4_ne256_b8_mi1000_do0.2,2.0812,2.1296,64,4,4,256,8,1000,0.2,1000.0
out_bs64_nl4_nh8_ne128_b8_mi2000_do0.2,2.0865,2.1346,64,4,8,128,8,2000,0.2,2000.0
out_bs64_nl4_nh4_ne128_b8_mi2000_do0.2,2.0939,2.1391,64,4,4,128,8,2000,0.2,2000.0
out_bs64_nl4_nh8_ne256_b8_mi1000_do0.2,2.0984,2.1418,64,4,8,256,8,1000,0.2,1000.0
out_bs64_nl4_nh8_ne128_b16_mi1000_do0.2,2.1427,2.1717,64,4,8,128,16,1000,0.2,1000.0
out_bs64_nl4_nh4_ne128_b16_mi1000_do0.2,2.1486,2.174,64,4,4,128,16,1000,0.2,1000.0
out_bs64_nl4_nh4_ne128_b8_mi1000_do0.1,2.207,2.2386,64,4,4,128,8,1000,0.1,1000.0
out_bs64_nl4_nh8_ne128_b8_mi1000_do0.1,2.2112,2.2476,64,4,8,128,8,1000,0.1,1000.0
out_bs64_nl4_nh8_ne128_b8_mi1000_do0.2,2.2803,2.3006,64,4,8,128,8,1000,0.2,1000.0
out_bs64_nl4_nh4_ne128_b8_mi1000_do0.2,2.3126,2.3288,64,4,4,128,8,1000,0.2,1000.0
